rest_area_name,rest_area_number,responsible_authority,,,category,,vehicle_type
Glencoe,1095,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
,1040,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Southeast end of Nevertire,1052,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Nancy Coulton Lookout,1148,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Glencoe Northbound,2007,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
,942,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Bonalbo Road Westbound,614,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Broken Hill Information Bay,254,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Arrawarra,4092,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mount Seaview,631,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1285,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,1545,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Daroobalgie Site,767,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Yarraman Rest Area,1186,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,849,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
ROSES PARK,4002,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,936,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Halls,913,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Coolabah Northwest,1066,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Emergency Phone Site,1286,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
,1358,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Square Bush,1787,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Cudgegong Truck Rest Area,932,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Browntown Oval,952,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,4001,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1425,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Nyngan-West approach-Northwest bound,1060,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Near Lightening Ridge,1770,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Pearsons Lookout,562,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tapalin Rest Area - Eastbound,263,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gowan North Rest Area,1193,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Clybucca Northbound,4010,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gingers Creek,637,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Former RTA Weighbridge,1373,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Deni Rest Area,3032,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Glenbrook Oval,939,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Garryowen,30,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Stopping Area Wollogorang,318,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1359,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Parking Baxters Lane,333,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mail Route Rest Area,265,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1773,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1548,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1391,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Bundjalung - Devils Pulpit SF,3282,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Braefield,1786,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Schmidts Lane,295,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,759,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Crookwell River near Laggan Street,1276,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Edrom Rd Rest Area S/B,3009,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tom Groggin Rest Area,400,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Lions Park - Walcha,1962,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,4117,RMS,,,INFORMAL PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,739,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
First Fleet Memorial Garden Wallabadah,1929,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Back Creek - South Bound,2004,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,685,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Willowvale,3038,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wheatley VC Rest Area,322,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
French VC,16,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
River Lett Hill (left),957,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
North of Tomingley Creek,989,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Little Thredbo River Rest Area W/B,385,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Area Sth of Sallys Cnr S/B,88,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Bundarra Road - Cunningham Park,1921,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Marsden Rest Area-North Bound,782,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1739,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Australia Day Park - Barraba,1828,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Stopping Area Donnellys,325,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,845,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Truck Parking near Georges River Appin,382,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Mirrool,1591,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
White Rock Road Turn off,1122,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Blue Metal Rest Area,3023,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Victoria Pass Surveyor Plaque,953,OTHER,,,PARKING AREA,,LIGHT VEHICLES ONLY
,856,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Nunnock River Uncoupling Bay,364,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Lions Park,667,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Dicken Park-Tomingley,990,COUNCIL,,,PARKING AREA,,LIGHT VEHICLES ONLY
Yarada Rest Areas,231,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Sandy Creek Rest Area,1681,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Logbook Hill Marulan N/B,20,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Netallie Hill Rest Area,1303,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
3.5km North of Thredbo,395,NATIONAL PARKS AND WILDLIFE SERVICE,,,PARKING AREA,,LIGHT VEHICLES ONLY
Daroobalgie Site,768,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,389,NATIONAL PARKS AND WILDLIFE SERVICE,,,PARKING AREA,,LIGHT VEHICLES ONLY
Tigers Gap westbound,1147,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Big Ben Creek,116,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Biddon Rest Area S/B,890,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Rest Area Wollogorang N/B,14,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Heavy Vehicle Inspection Rest Area - E/B,3013,RMS,,,REST AREA,,HEAVY VEHICLE INSPECTION
Glen Innes East Avenue,1922,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,687,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,1554,OTHER,,,PARKING AREA,,HEAVY VEHICLES ONLY
Gins Leap,656,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1534,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mackay Park,307,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Warialda Saleyards,1827,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,585,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Barry's Creek Northbound,4125,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Warialda Apex Park,1825,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1680,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,445,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Stephens Creek Bridge,1330,RMS,,,INFORMAL PARKING AREA,,HEAVY VEHICLES ONLY
Ewenma Waste Disposal Depot,1679,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Beckom Rest Area,1519,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,866,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,850,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Whiporie,576,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Migurra Reserve,3043,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Lake Williams Nimmtabel N/B,372,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wiangaree Town Rest Area,1837,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1063,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Kiga Bore Rest Area S/B,1164,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wingadee Rest Area,1620,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1107,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Five Mile Rest Area-South Bound,785,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
Glenbrook,938,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Carlton Dr Brooks Hill Res Bungendore,376,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Rotary Tamworth Airport,1161,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Trangie-East approach,1047,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Deltroit,120,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
LITTLE BILLABONG REST AREA,33,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mahda Rest Area - Southbound,1589,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Run O Waters Sth Goulburn S/B,5,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Lions Lookout,1220,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Ngarigo Rest Area,393,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
1km Nth of Sierra Rd Yerrinbool N/B,25,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Cascades Information Bay,396,NATIONAL PARKS AND WILDLIFE SERVICE,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Escort Rock Rest Area,1244,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,961,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Sutton Park,947,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Kyabia,1133,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Termeil Information Bay,3145,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Information Bay Junction MR694,258,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
MacCullochs Rest Area,1287,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Jindabyne Information Bay nr Banjo Paterson Inn,3243,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,447,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Rankin Springs,1265,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tenterfield Creek,1810,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Sleepy Hollow Northbound,554,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Bonalbo Road Eastbound,615,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
,1627,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Bohena Creek Rest Area,1183,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Seven Trees Rest Area,244,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
The Henty Man Rest Area,1234,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Byrock-Southeast approach,1104,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Byrock,1740,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Schmidts Lane,294,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Park 1.2km West of SH2,202,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,778,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
John Oxley Rest Area,1264,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Park near Victorian Border S/B,369,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1341,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Emmdale,1749,OTHER,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Cusacks Creek Truck Park,1190,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Prungle Mail,259,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
South Brocklehurst Truck Insp Bay - S/B,904,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
,852,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Mt Pleasant Water Tower Lookout S/B,343,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,860,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Appin Rd EB Truck Parking Facility,3021,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mackey VC,86,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1743,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Barley Fields Road - Uralla,1970,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Robins Nest (Mirool Ck),1553,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Packsaddle,1772,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Bobundara Rest Area Tilba N/B,356,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1533,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Rest Area at Colombo Creek Bemboka,363,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Truck parking bay junction of HW6 & HW17.,780,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Beardy Waters Bridge,1906,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Meilman East Rest Area,261,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1393,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Moonbi,1969,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1119,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Bald Hill Lookout,388,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,456,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Sleepy Hollow Southbound,555,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Cudgegong,930,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,422,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Berida Rest Area,1677,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1288,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Spring Hills Rest Area,1312,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Nambucca Heads Service Centre,4091,OTHER,,,HIGHWAY SERVICE CENTRE,,BOTH LIGHT AND HEAVY VEHICLES
Information Bay near Victorian Border N/B,371,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Bluff Rock Lookout,1073,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Kibby VC Rest Area,317,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Parking area Otford,3259,RMS,,,INFORMAL PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Yamminba Rest Area,1189,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Vittoria,1023,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Beardy Water North,1090,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
North of Forbes,766,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Packsaddle Roadhouse,1771,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Cockburn,1753,OTHER,,,PARKING AREA,,HEAVY VEHICLES ONLY
Mt. Boyce,951,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Braemar Park,579,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Chowne VC,17,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
West of Medina Roundabout Hay,235,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1629,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Nungarry Rest Area Nth Kiama Bypass S/B,1699,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1347,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Nine Mile,1206,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Oak Street,1886,COUNCIL,,,PARKING AREA,,LIGHT VEHICLES ONLY
Mossgiel (MR80 Junction),1549,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Rotary Park - Tenterfield,1838,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
No name,1222,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Bulla Park Rest Area,1012,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1630,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Truck Parking Area Madew Winery,331,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dubbo Zoo Town Information Bay,581,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Bulls Camp Reserve,943,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Golf Club - Westbound,236,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Baden Park Rest Area,1430,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Berambing Picnic Area,818,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dubbo Kart Club Brocklehurst,1762,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wind Farm Viewing Area,1277,OTHER,,,PARKING AREA,,LIGHT VEHICLES ONLY
Opposite Coombah Roadhouse,247,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
South Coffs Harbour Service Centre,1852,OTHER,,,HIGHWAY SERVICE CENTRE,,BOTH LIGHT AND HEAVY VEHICLES
Mt.Pleasant Rest Area,889,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1744,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
South Brocklehurst Truck Inspection Bay - N/B,905,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
Muswell Hill,1135,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Yelgun,3101,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gilgunnia Goldfields Rest Area,1540,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Edgeroi Park,1179,COUNCIL,,,PARKING AREA,,LIGHT VEHICLES ONLY
Appin Park,3238,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Celtic Country - Redbank,1092,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1756,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Boolooroo Rest Area,1170,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Neates Park,948,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1621,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Snowy Range,982,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Illabo Rest Area,3037,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
North Parkes,1759,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gara River,974,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Tooraweenah Rest Area,885,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Glen Ayr,1142,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,998,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1316,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Entrance to Balaclava,248,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
War Memorial Park - Bendemeer,3301,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1325,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
